球隊,W,L,Draw,PCT,AVG,OBP,SLG,OPS+,R,H,HR,BB,SO,SB,ERA,ERA+,WHIP,RA
24中信兄弟,70,50,0,0.583,0.263,0.340,0.378,107.5,561,1058,78,445,846,92,3.681,99.6,1.303,490
24統一7-ELEVEn獅,66,53,2,0.555,0.279,0.347,0.374,108.5,564,1143,53,405,764,61,3.404,107.7,1.306,465
24樂天桃猿,62,57,2,0.521,0.273,0.327,0.374,102.4,493,1110,60,296,747,75,3.685,99.5,1.390,527
24味全龍,58,62,0,0.483,0.256,0.315,0.353,93.0,457,1028,58,314,769,63,3.380,108.5,1.254,452
24富邦悍將,53,66,1,0.445,0.254,0.323,0.34,91.8,450,1023,43,357,769,67,3.722,98.5,1.408,499
24台鋼雄鷹,49,70,1,0.412,0.258,0.328,0.353,96.9,490,1042,58,368,826,80,4.138,99.5,1.439,582
23中信兄弟,57,58,5,0.496,0.250,0.326,0.346,95.2,,,,,,,3.874,95.5,1.314,
23統一7-ELEVEn獅,62,55,3,0.530,0.273,0.343,0.363,105.1,,,,,,,3.350,110.4,1.258,
23樂天桃猿,60,56,4,0.517,0.280,0.342,0.399,114.8,,,,,,,3.911,94.6,1.437,
23味全龍,62,53,5,0.539,0.248,0.320,0.349,94.2,,,,,,,3.587,103.2,1.309,
23富邦悍將,48,67,5,0.417,0.247,0.313,0.342,90.1,,,,,,,3.772,98.1,1.362,
22中信兄弟,69,47,4,0.595,0.275,0.342,0.364,110.5,,,,,,,3.231,103.6,1.233,
22統一7-ELEVEn獅,48,69,3,0.410,0.251,0.311,0.331,91.4,,,,,,,3.543,94.5,1.378,
22樂天桃猿,70,46,4,0.603,0.278,0.337,0.374,111.8,,,,,,,3.254,102.9,1.276,
22味全龍,57,58,5,0.496,0.255,0.319,0.335,95.0,,,,,,,3.273,102.3,1.288,
22富邦悍將,46,70,4,0.397,0.249,0.305,0.338,91.6,,,,,,,3.438,97.4,1.317,
21中信兄弟,66,49,5,0.574,0.262,0.333,0.375,104.6,,,,,,,3.658,101.3,1.298,
21統一7-ELEVEn獅,64,51,5,0.557,0.260,0.330,0.351,97.1,,,,,,,3.268,113.4,1.245,
21樂天桃猿,56,61,3,0.479,0.281,0.341,0.397,113.0,,,,,,,4.149,89.3,1.420,
21味全龍,50,62,5,0.427,0.244,0.306,0.338,86.2,,,,,,,3.929,94.3,1.366,
21富邦悍將,54,67,3,0.466,0.254,0.323,0.364,98.5,,,,,,,3.532,105.0,1.314,
20中信兄弟,67,51,2,0.568,0.304,0.370,0.469,104,,,,,,,4.197,125.5,1.368,
20統一7-ELEVEn獅,58,61,1,0.487,0.292,0.359,0.452,97.3,,,,,,,5.844,90.2,1.632,
20樂天桃猿,59,61,0,0.492,0.311,0.367,0.476,104.7,,,,,,,5.816,90.6,1.622,
20富邦悍將,54,65,1,0.454,0.289,0.346,0.448,92.8,,,,,,,5.229,100.8,1.597,